id,REF,Nome,"Descrição curta","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)",Preço,Categorias,Imagem1,Imagem2,Imagem3,Imagem4,Imagem5,Imagem6
995,SAGRADO-30x30,"Sagrado Coração de Jesus","Painel em azulejos com imagem do Sagrado Coração de jesus",,,,,"120,00","Imagens Religiosas",http://atelielukabrasil.com.br/wp-content/uploads/2015/01/Sagrado-Coração-de-Jesus-1.jpg,,,,,
1000,GALVÃO-45X60,"Frei Galvão","Painel em azulejos com imagem de Frei Galvão",,,,,"357,00","Imagens Religiosas",http://atelielukabrasil.com.br/wp-content/uploads/2015/01/Frei-Galvão-1.jpg,,,,,
1021,Ganash-28,"Ganash na cerâmica artística","Prato de cerâmica modelado e pintado à mão, com esmalte cerâmico",,,,,"170,00","Pratos Decorativos",http://atelielukabrasil.com.br/wp-content/uploads/2015/02/Ganesh1.jpg,,,,,
1023,Painel-mand-36,"Mandalas pintadas em azulejo","Madala com pintura artesanal, pintura com esmalte cerâmico",,,,,"900,00","Mandalas|Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2015/05/Mandala-36_az.jpg,,,,,
1056,"Nº-Nome 30x20 cm","Número de casa | Nome de rua com número","Placas cerâmicas personalizadas e exclusivas (30x20 cm), feitas sob encomenda.",,,,,"99,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Placa-cerâmica-com-endereço-e-numero-de-casa-1.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Template-End.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Placa-ceramica-Cantinho-Churrasco.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Template-Placas_2.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Azulejo-decorado-com-nome-de-familia-e-numero-de-casa.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Placa-ceramica-com-nome-de-familia.jpg
1068,Mandala-28,"Mandala em prato decorativo","Mandalas pintadas em pratos decorativos",,,,,"115,00","Pratos Decorativos",http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Prato-decorado-com-desenho-de-mandala.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Mandala-em-prato-decorativo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Renda-1_22.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Mandala-in-yang.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Mandala-árvore-da-vida.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Mandala-Lilás-.jpg
1082,FRAN-30x45,"São Francisco de Assis","Azulejos personalizados com imagem de São Francisco, super resistente as ações do tempo ",,,,,"168,00","Imagens Religiosas",http://atelielukabrasil.com.br/wp-content/uploads/2015/07/Imagem-de-São-Francisco-pintada-em-azulejos.jpg,,,,,
1087,NSPS-30x45,"Nossa Senhora do Perpétuo Socorro","Painel em azulejos esmaltados e com ilustração de Nossa Senhora do perpétuo Socorro",,,,,"168,00","Imagens Religiosas",http://atelielukabrasil.com.br/wp-content/uploads/2015/07/Perpétuo_30x45.jpg,,,,,
1166,BARS-P-28,"Brasão de família | brasão sob encomenda | brasão medieval sob encomenda | escudo medieval","Brasão de família pintado a mão, sob encomenda",,,,,"147,00","Brasões de Família",http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Moraes.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Grossi.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-França.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Farias.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Damaceno.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Fagundes.jpg
1168,BEBE-30x20,"Enfeite pro quarto do bebe e porta de maternidade","Peças personalizadas na cerâmica, acabamento vitrificado e desenho em alto relevo.",,,,,"105,00",Maternidade,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Tarsila.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/08/Slider_Maternidade-30x20.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/08/Slider_Maternidade-Alice.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Gustavo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Thayla.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Marcos.jpg
